ts,side,qty,price,pnl
2020-01-02T00:00:00,BUY,0.071744,6969.192854999999,0.0
2020-01-03T00:00:00,SELL,0.071744,7341.287520000001,26.168866313925207
2020-01-05T00:00:00,BUY,0.068087,7362.429375,0.0
2020-03-11T00:00:00,SELL,0.068087,7930.552740000001,38.141848008346756
2020-05-03T00:00:00,BUY,0.056544,8898.60708,0.0
2020-07-28T00:00:00,SELL,0.056544,10900.816865,112.59657429422543
2020-07-30T00:00:00,BUY,0.045814,11105.159805,0.0
2021-05-20T00:00:00,SELL,0.045814,40506.37668,1345.1315907700325
2021-08-03T00:00:00,BUY,0.015068,38226.153525,0.0
2021-10-07T00:00:00,SELL,0.015068,53758.327390000006,233.22876532070757
2021-10-11T00:00:00,BUY,0.01022,57500.085674999995,0.0
2021-12-11T00:00:00,SELL,0.01022,49365.295005,-83.6420739623511
2022-01-08T00:00:00,BUY,0.013991,41700.579869999994,0.0
2022-01-09T00:00:00,SELL,0.013991,41843.687690000006,1.4167864751493653
2022-05-10T00:00:00,BUY,0.018802,31032.608549999997,0.0
2022-05-11T00:00:00,SELL,0.018802,29089.388030000002,-37.083370890779975
2022-06-14T00:00:00,BUY,0.026259,22147.478205,0.0
2022-06-16T00:00:00,SELL,0.026259,20391.109345,-46.6559400350302
2022-08-29T00:00:00,BUY,0.028539,20295.872864999998,0.0
2022-08-31T00:00:00,SELL,0.028539,20039.994990000003,-7.874420091644424
2022-11-10T00:00:00,BUY,0.032868,17609.950575,0.0
2022-11-16T00:00:00,SELL,0.032868,16654.42862,-31.953493376822166
2023-01-15T00:00:00,BUY,0.02764,20881.93575,0.0
2023-06-22T00:00:00,SELL,0.02764,29869.97754,247.60386889639437
2023-06-27T00:00:00,BUY,0.019198,30707.786219999998,0.0
2023-08-21T00:00:00,SELL,0.019198,26113.85654,-88.69559581449482
2023-10-23T00:00:00,BUY,0.017683,33086.524995,0.0
2024-02-10T00:00:00,SELL,0.017683,47727.214455,258.0473513879723
2024-02-13T00:00:00,BUY,0.012025,49724.43979499999,0.0
2024-06-29T00:00:00,SELL,0.012025,60956.18666000001,134.32875790703872
2024-07-24T00:00:00,BUY,0.009244,65408.687999999995,0.0
2024-08-06T00:00:00,SELL,0.009244,55993.998995,-87.54699368892977
2024-10-21T00:00:00,BUY,0.008904,67411.18875,0.0
2024-11-07T00:00:00,SELL,0.008904,75819.961055,74.19660767048629
2024-11-08T00:00:00,BUY,0.007889,76548.03489,0.0
2025-03-02T00:00:00,SELL,0.007889,94222.865,138.69341055580514
2025-05-02T00:00:00,BUY,0.006301,96935.58356999999,0.0
2025-07-11T00:00:00,SELL,0.006301,117468.89617,128.6402311778329
2025-07-15T00:00:00,BUY,0.005239,117816.96904499999,0.0
2025-10-06T00:00:00,SELL,0.005239,124596.21073,34.863687639700515
2025-10-07T00:00:00,BUY,0.005098,121393.61647499999,0.0
